id,repo,owner
322486855,graph4nlp_literature,graph4ai
167374649,NeuralGenetic,ahmedfgad
174063977,driverlessai-recipes,h2oai
467552700,Machine-learning-roadmap-and-projects,h9-tect
215258192,Transfer-learning-materials,yuntaodu
309907547,Text_Style_Transfer_Survey,zhijing-jin
239420566,neuralet,galliot-us
292189702,crnn-pytorch,GitYCC
239925364,DeepCrack,qinnzou
80487145,deep-makeover,david-gpu
163911045,sentence-classification,lettergram
607384714,moseca,fabiogra
145973819,Fast_Portrait_Segmentation,lizhengwei1992
274012656,InterpretDL,PaddlePaddle
159589936,hand_detection,molyswu
83100910,NumpyDL,chaoming0625
397305555,project-azua,microsoft
194301252,SkyNet,TomG008
222138225,deepbots,aidudezzz
